Food ID	Danish name	English name	Main group	Sub group	Energy	Protein_total	total_N	Fat_total	saturated_fatty_acids	monounsaturated_fatty_acids	polyunsaturated_fatty_acids	Carbohydrate_total	carbohydrate_available	added_sugar	dietary_fibre	Alcohol	Ash	Moisture	Vitamin_A	retinol	ß_carotene	Vitamin_D	D3_cholecalciferol	D2_ergocalciferol	_25_hydroxycholecalciferol	Vitamin_E	alpha_tocopherol	Vitamin_K	Vitamin_B1_thiamin	Vitamin_B2_riboflavin	Niacin_equivalents	niacin	tryptophan	Vitamin_B6	Pantothenic_Acid	Biotin	Folates	Vitamin_B12	Vitamin_C	L_Ascorbic_Acid	L_Dehydroascorbic_acid	Sodium_Na	Potassium_K	Calcium_Ca	Magnesium_Mg	Phosphorus_P	Iron_Fe	Copper_Cu	Zinc_Zn	Iodine_I	Manganese_Mn	Chromium_Cr	Selenium_Se	Nickel_Ni	Fructose	Glucose	Lactose	Maltose	Saccharose	All_sugars_total	Starch	Dietary_fibre_total_(AOAC)	C_4_0	C_6_0	C_8_0	C_10_0	C_12_0	C_14_0	C_15_0	C_16_0	C_17_0	C_18_0	C_20_0	C_22_0	C_24_0	C_14_1	C_16_1	C_18_1_n_9	C_18_1_cis_n_7	C_20_1_n_11	C_22_1_n_9	C_22_1_n_11	C_24_1_n_9	C_18_2_n_6	C_18_3_n_3	C_18_4_n_3	C_20_4_n_6	C_20_5_n_3	C_22_5_n_3	C_22_6_n_3	Other_fatty_acids	Sum_saturated	Sum_monounsaturated	Sum_polyunsaturated	Sum_n_3_fatty_acids	Sum_n_6_fatty_acids	Trans_fatty_acids	Cholesterol	Isoleucin	Leucine	Lysine	Methionine	Cystine	Phenylalanine	Tyrosine	Threonine	Tryptophan	Valine	Arginine	Histidine	Alanine	Aspartic_acid	Glutamic_acid	Glycine	Proline	Serine
"1411"	"Sødmælk, økologisk"	"Milk, whole, organic, 3.5 % fat"	"01"	"10"	"269"	"3.4"	"0.5"	"3.5"	"2.3"	"0.8"	"0.1"	"4.8"	"4.8"	"0.0"	"0.0"	"0.0"	"0.8"	"87.8"	"30.5"	"29.2"	"16"	"0.100"	"0.100"			"0.089"	"0.089"	"0"	"0.042"	"0.172"	"0.859"	"0.092"	"0.767"	"0.047"	"0.34"	"1.4"	"11.0"	"0.45"	"1.2"			"45.4"	"144"	"116"	"11.1"	"93"	"0.040"	"0.01"	"0.419"	"16.7"	"0.01"	"0.052"	"1.61"	"0.958"	"0"	"0"	"4.62"	"0"	"0"	"4.62"	"0"		"0.106"	"0.211"	"0.106"	"0.106"	"0.106"	"0.317"		"0.951"		"0.423"	"0.000"	"0.000"	"0.000"	"0.000"	"0.106"	"0.740"	"0.000"	"0.000"	"0.000"	"0.000"	"0.000"	"0.106"	"0.000"	"0.000"		"0.000"	"0.000"	"0.000"	"0.000"	"2.33"	"0.846"	"0.106"	"0.000"	"0.106"	"0.151"	"14"	"200"	"330"	"310"	"86"	"26"	"170"	"150"	"150"	"46"	"240"	"120"	"96"	"110"	"280"	"680"	"70"	"330"	"190"	
"0989"	"Krydder"	"Wheat rusk"	"04"	"40"	"1593"	"9.3"	"1.6"	"5.8"	"2.1"	"2.4"	"1.0"	"73.5"	"70.2"	"0"	"3.3"	"0.0"	"1.5"	"7.8"	"85.1"	"84"	"13"	"0.44"				"0.9"	"0.9"	"0"	"0.13"	"0.02"	"1.83"		"1.83"	"0.090"				"0"	"0"			"166"	"189"	"20"	"22.4"	"120"	"0.7"		"1.2"	"3.5"																"0.018"	"0.114"	"0.250"		"0.908"		"0.699"	"0.078"	"0.042"			"0.281"	"1.91"		"0.191"	"0.066"			"0.830"								"2.11"	"2.44"	"0.956"		"0.956"		"0"	"420"	"700"	"250"	"160"	"160"	"470"	"200"	"310"	"110"	"510"	"360"	"210"	"360"	"510"	"3100"	"390"	"1000"	"540"	
"0987"	"Tørkage, uspec."	"Pastry, average values"	"04"	"50"	"1933"	"5.1"	"0.9"	"27.3"				"52.8"	"46"	"20.0"	"6.8"	"0"	"0.8"	"13.5"																								"159"	"115"				"1.9"																																																																						
"0988"	"Wienerbrød, uspec."	"Danish pastry, average values"	"04"	"50"	"1793"	"4.5"	"0.8"	"26.6"	"9.3"	"11.5"	"4.0"	"44.8"	"41.5"	"3.0"	"3.3"	"0"	"1.2"	"20.9"	"257"	"255"	"18"	"1.5"				"1.1"	"1.1"	"0"	"0.065"	"0.06"	"0.717"	"0.55"	"0.717"	"0.045"			"8"	"0"	"0"			"301"	"98"	"33"	"12.0"	"97"	"0.4"		"0.78"	"5.9"			"1"										"0.000"	"0.000"	"0.129"	"0.000"	"0.387"	"0.516"		"6.19"		"1.81"	"0.258"	"0.000"	"0.000"	"0.000"	"0.258"	"11.1"	"0.000"	"0.129"	"0.000"	"0.000"	"0.000"	"3.23"	"0.774"	"0.000"		"0.000"	"0.000"	"0.000"	"0.000"	"9.29"	"11.5"	"4.00"	"0.774"	"3.23"			"210"	"350"	"130"	"79"	"77"	"230"	"100"	"140"	"43"	"240"	"230"	"100"	"170"	"280"	"1400"	"190"	"400"	"230"	
"1419"	"Hvidvin, uspec."	"Wine, white, average values"	"13"	"40"	"345"	"0.1"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"2.6"	"2.6"		"0.0"	"10.3"	"0.2"	"86.9"	"0.000"	"0"	"0"					"0.00"	"0.00"		"0.005"	"0.015"	"0.108"	"0.108"		"0.050"			"1"		"0.000"	"0.0"		"5"	"71"	"9"	"10"	"18"	"0.27"	"0.004"	"0.12"	"0.34"			"0.1"																																													"0"																			
"0985"	"Kammerjunkere"	"Bisquit, sweet"	"04"	"50"	"1927"	"8.3"	"1.5"	"17.1"				"69.4"	"66.4"		"3.0"	"0"	"2.0"	"3.3"													"1.58"		"1.58"									"533"	"151"				"2.29"																																																				"350"	"630"	"200"	"130"	"150"	"440"	"190"	"230"	"95"	"410"	"320"	"190"	"280"	"360"	"2800"	"310"	"980"	"440"	
"0986"	"Skærekage, formkage, uspec."	"Plain cake, average values"	"04"	"50"	"1800"	"4.9"	"0.9"	"22.3"	"5.2"	"10.3"	"5.2"	"53.0"	"52"		"1.0"	"0"	"1.0"	"18.3"	"128"	"126"	"20"					"0.5"	"0.5"	"0"	"0.045"	"0.05"	"0.983"	"1.9"	"0.983"	"0.040"				"0"	"0"			"237"	"130"	"93"	"11.3"	"210"	"0.4"		"0.72"	"8.0"													"0.000"	"0.000"	"0.000"	"0.000"	"0.000"	"0.347"		"3.24"		"1.39"	"0.231"	"0.000"	"0.000"	"0.000"	"0.347"	"9.26"	"0.000"	"0.347"	"0.347"	"0.000"	"0.000"	"4.28"	"0.926"	"0.000"		"0.000"	"0.000"	"0.000"	"0.000"	"5.21"	"10.3"	"5.21"	"0.926"	"4.28"			"260"	"400"	"230"	"110"	"95"	"280"	"130"	"180"	"59"	"290"	"240"	"120"	"220"	"350"	"1300"	"180"	"410"	"310"	
"0059"	"Grapefrugt, rå"	"Grapefruit, raw"	"06"	"40"	"180"	"0.9"	"0.1"	"0.3"	"0.1"	"0.1"	"0.1"	"9.8"	"8.4"	"0"	"1.4"	"0"	"0.3"	"88.7"	"1.42"	"0"	"17"	"0"				"0.3"	"0.3"		"0.05"	"0.035"	"0.400"	"0.3"	"0.100"	"0.045"	"0.28"	"1"	"39"	"0"	"47.3"	"45"	"2.3"	"2"	"145"	"28.3"	"10"	"19.5"	"0.13"	"0.042"	"0.07"	"0.1"	"0.036"	"0.1"	"0.220"	"3.06"	"1.0"	"2.0"			"2.0"	"5.00"	"0"									"0.067"		"0.009"					"0.006"	"0.048"						"0.086"	"0.024"		"0.000"					"0.076"	"0.054"	"0.110"	"0.024"	"0.086"		"0"	"16"	"24"	"32"	"5"	"2"	"16"	"11"	"17"	"6"	"24"	"66"	"10"	"33"	"180"	"71"	"16"	"78"	"43"	
"0984"	"Tvebakker"	"Wheat rusk"	"04"	"40"	"1594"	"9.3"	"1.6"	"5.8"	"1.6"	"1.9"	"0.7"	"73.5"	"70.4"	"0"	"3.1"	"0.0"	"1.5"	"7.8"	"85.1"	"84"	"13"	"0.44"				"1.4"	"1.4"		"0.10"	"0.02"	"1.83"	"4"	"1.83"	"0.28"			"50"	"0"	"0"			"470"	"130"	"20"	"30"	"120"	"0.7"		"1.2"	"20.7"			"2.1"													"0.014"	"0.087"	"0.193"		"0.698"		"0.537"	"0.060"	"0.033"			"0.216"	"1.47"		"0.146"	"0.051"			"0.639"								"1.62"	"1.88"	"0.735"		"0.735"	"0"	"0"	"420"	"700"	"250"	"160"	"160"	"470"	"200"	"310"	"110"	"510"	"360"	"210"	"360"	"510"	"3100"	"390"	"1000"	"540"	
"0058"	"Gelatine"	"Gelatin"	"14"	"50"	"1481"	"86.9"	"13.9"	"0.1"	"0.0"	"0.0"	"0.0"	"0.0"	"0"	"0"	"0"	"0"	"1.3"	"11.7"	"0.000"	"0"	"0"	"0"				"0"	"0"		"0"	"0.07"	"0.000"	"0"	"0.000"	"0.006"	"0"	"0"	"0"	"0"	"0"			"298"	"12"	"280"	"11"	"0"	"1.2"			"5"					"0"	"0"	"0"	"0"	"0"	"0"	"0"							"0.003"	"0.000"	"0.022"	"0.001"	"0.010"				"0.001"	"0.005"	"0.034"		"0.000"				"0.002"	"0.001"		"0.001"	"0.000"	"0.000"			"0.036"	"0.041"	"0.003"	"0.001"	"0.003"	"0"	"0"	"1400"	"2500"	"3900"	"680"	"0"	"1800"	"110"	"1700"	"0"	"2400"	"6700"	"570"	"8600"	"5100"	"9200"	"22200"	"13100"	"3200"	
